open,BeverageId,Served,TASTE,BEER_NAME,BREWERY_NAME,STYLE,ABV,LOCATION_CITY,STATE_COUNTRY,close
(',1,On Tap,Light & Crisp,Big Wave, Kona Brewing,American Blonde Ale,4.40%,Honolulu, HI,)
(',2,On Tap,Light & Crisp,Blue Moon, Molson-Coors,Belgian Witbier,5.40%,Golden, CO,)
(',3,On Tap,Light & Crisp,Bud Light, Anheuser-Busch,American Light Lager,4.20%,St. Louis, MO,)
(',4,On Tap,Light & Crisp,Buenoveza, Stone Brewing,American Lager,4.70%,Escondido, CA,)
(',5,On Tap,Light & Crisp,Coors Light, Molson-Coors,Light Lager,4.20%,Golden, CO,)
(',6,On Tap,Light & Crisp,Duvel Single, Brouwerij Duvel Moortgat,Belgian Strong Ale,8.50%,Breendonk, Belgium,)
(',7,On Tap,Light & Crisp,German Shepheweizen, Wasserhund,German Hefeweizen,5.90%,Virginia Beach, VA,)
(',8,On Tap,Light & Crisp,Hardywood Pils, Hardywood,German Pilsner,5.20%,Richmond, VA,)
(',9,On Tap,Light & Crisp,Hefeweizen, Paulaner Brewery,Hefeweizen,5.30%,Munich, Germany,)
(',10,On Tap,Light & Crisp,Liquid Escape, VA Beer Co.,Tart Ale,4.40%,Williamsburg, VA,)
(',11,On Tap,Light & Crisp,Mango Cart, Golden Road,Fruit & Field Beer,4.00%,Los Angeles, CA,)
(',12,On Tap,Light & Crisp,Miller Lite, MillerCoors,American Light Lager,4.20%,Milwaukee, WI,)
(',13,On Tap,Light & Crisp,Modelo Especial, Grupo Modelo,American Adjunct Lager,4.40%,Mexico City, Mexico,)
(',14,On Tap,Light & Crisp,Proper Lager, O’Connor,American Lager,4.70%,Norfolk, VA,)
(',15,On Tap,Light & Crisp,Sam Summer, Sam Adams,Hefeweizen,5.40%,Boston, MA,)
(',16,On Tap,Light & Crisp,Saving Daylight, VA Beer Co.,Wheat Beer,4.90%,Williamsburg, VA,)
(',17,On Tap,Light & Crisp,Sommer Fling, Smartmouth,American Adjunct Lager,5.60%,Norfolk, VA,)
(',18,On Tap,Light & Crisp,Stella Artois, Anheuser-Busch,Pilsner,5.00%,Leuven, Belgium,)
(',19,On Tap,Light & Crisp,Tangerine Wheat, Lost Coast,Tangerine Wheat Ale,4.70%,Eureka, CA,)
(',20,On Tap,Light & Crisp,White, Allagash,Belgian Witbier,5.10%,Portland, ME,)
(',21,On Tap,Light & Crisp,Wit, St. Bernardus,Belgian Wit,5.50%,Watou, Belgium,)
(',22,On Tap,Sweet & Tart,Farmhouse Dry, Potter’s Craft Cider,Cider,8.50%,Free Union, VA,)
(',23,On Tap,Sweet & Tart,Frederick H., Bruery Terreux,Sour Berliner-Weisse,4.40%,Anaheim, CA,)
(',24,On Tap,Sweet & Tart,Pineapple Cider, Austin Eastciders,Cider,5.00%,Austin, TX,)
(',25,On Tap,Sweet & Tart,Pineapple Passionfruit, Schilling,Cider,6.70%,Littleton, NH,)
(',26,On Tap,Sweet & Tart,Sour Monkey, Victory,Sour Tripel,9.50%,Downingtown, PA,)
(',27,On Tap,Sweet & Tart,Super Eight, Dogfish Head,Leipzig Gose,5.30%,Milton, DE,)
(',28,On Tap,Sweet & Tart,Tart Cherry, Buskey,Cider,6.30%,Richmond, VA,)
(',29,On Tap,Sweet & Tart,Unleashed, Wasserhund,Boysenberry Gose Cider,5.00%,Virginia Beach, VA,)
(',30,On Tap,Sweet & Tart,VA Apple, Bold Rock,Blonde Ale,6.00%,Nellysford, VA,)
(',31,On Tap,Bold & Unique,Golden Monkey, Victory,Tripel,9.50%,Downingtown, PA,)
(',32,On Tap,Bold & Unique,Hard Kombucha, Flying Embers,Specialty Beer,4.50%,Ojai, CA,)
(',33,On Tap,Bold & Unique,Bourbon Barrel Ale, Lexington Brewing,Strong Ale,8.20%,Lexington, KY,)
(',34,On Tap,Bold & Unique,La Fin Du Monde, Unibroue,Tripel,9.00%,Quebec, Canada,)
(',35,On Tap,Bold & Unique,Pale Sour, Ommegang,American Wild Ale,6.90%,Cooperstown, NY,)
(',36,On Tap,Bold & Unique,Wild Little Thing, Sierra Nevada,American Wild Ale,5.50%,Mills River, NC,)
