BeverageId,Served,TASTE,BEER_NAME,BREWERY_NAME,STYLE,ABV,LOCATION_CITY,STATE_COUNTRY,PRICE_GLASS,PRICE_GROWLER,PRICE_CAN,PRICE_BOTTLE
52,On Tap,Hoppy & Bitter,Thunderpeel, Flying Dog,New England IPA,6.20%,Frederick, MD,6.5,25,,
53,On Tap,Hoppy & Bitter,Tropicannon, Heavy Seas,American IPA,7.20%,Baltimore, MD,7.5,29,,
54,On Tap,Hoppy & Bitter,Unraveled IPA, Founders,American IPA,6.60%,Grand Rapids, MI,7.5,29,,
55,On Tap,Malty & Toasty,Abt. 12, St. Bernardus,Belgian Quadruple,10%,Watou, Belgium,10.5,51,,
56,On Tap,Malty & Toasty,Caramel Macchiato, Old Bust Head,American Stout,5.50%,Warrenton, VA,9.5,37,,
57,On Tap,Malty & Toasty,Elbow Patches, VA Beer Co.,Oatmeal Stout,6.20%,Williamsburg, VA,7,28,,
58,On Tap,Malty & Toasty,Guinness Draught, Guinness,Irish Dry Stout,4.20%,Dublin, Ireland,7.5,29,,
59,On Tap,Malty & Toasty,Milk Stout, Left Hand,Milk Stout,6.00%,Longmont, CO,7,28,,
60,On Tap,Malty & Toasty,Modelo Negra, Grupo Modelo,Munich Dunkel,5.40%,Mexico City, Mexico,6,24,,
61,On Tap,Malty & Toasty,Pearl Necklace, Flying Dog,American Stout,5.50%,Frederick, MD,7.5,30,,
62,On Tap,Malty & Toasty,Octoberfest, Sam Adams,Marzen Oktoberfest,5.30%,Boston, MA,7.5,30,,
63,On Tap,Malty & Toasty,Oktoberfest, Sierra Nevada,Marzen Oktoberfest,6.00%,Mills River, NC,7.5,30,,
64,On Tap,Malty & Toasty,Odis Nitro, O’Connor,Oatmeal Stout,6.30%,Norfolk, VA,8,32,,
65,On Tap,Malty & Toasty,Vienna Lager, Devil’s Backbone,Vienna Lager,5.20%,Roseland, VA,6.75,27,,
66,On Tap,Malty & Toasty,Vixen Red, Old Bust Head,Irish Red Ale,5.40%,Warrenton, VA,7.5,30,,
67,On Tap,Malty & Toasty,Xocoveza, Stone,Stout,8.10%,Escondido, CA,8,32,,
68,On Tap,Malty & Toasty,Yuengling Lager, Yuengling,Vienna Lager,4.50%,Pottsville, PA,5.5,31,,
69,Can,Canned,Bavarian Prince, New Real,Marzen Oktoberfest,6.40%,Virginia Beach,VA,,,6,
70,Can,Canned,Cherry Hard Limeade, Devil’s Backbone,Hard Limeade,6.10%,Roseland,VA,,,6,
71,Can,Canned,Corona Extra, Grupo Modelo,Mexican Lager,4.50%,Mexico City, Mexico,,,5,
